ADM1	first-order administrative division	"a primary administrative division of a country, such as a state in the United States"
ADM1H	historical first-order administrative division	a former first-order administrative division
ADM2	second-order administrative division	a subdivision of a first-order administrative division
ADM2H	historical second-order administrative division	a former second-order administrative division
ADM3	third-order administrative division	a subdivision of a second-order administrative division
ADM3H	historical third-order administrative division	a former third-order administrative division
ADM4	fourth-order administrative division	a subdivision of a third-order administrative division
ADM4H	historical fourth-order administrative division	a former fourth-order administrative division
ADM5	fifth-order administrative division	a subdivision of a fourth-order administrative division
ADM5H	historical fifth-order administrative division	a former fifth-order administrative division
ADMD	administrative division	"an administrative division of a country, undifferentiated as to administrative level"
ADMDH	historical administrative division	"a former administrative division of a political entity, undifferentiated as to administrative level"
LTER	leased area	"a tract of land leased to another country, usually for military installations"
PCL	political entity	
PCLD	dependent political entity	
		
PCLH	historical political entity	a former political entity
PCLI	independent political entity	
PCLIX	section of independent political entity	
PCLS	semi-independent political entity	
PRSH	parish	an ecclesiastical district
TERR	territory	
ZN	zone	
ZNB	buffer zone	a zone recognized as a buffer between two nations in which military presence is minimal or absent
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
LK	lake	a large inland body of standing water
		
PPL	populated place	"a city, town, village, or other agglomeration of buildings where people live and work"
PPLA	seat of a first-order administrative division	seat of a first-order administrative division (PPLC takes precedence over PPLA)
PPLA2	seat of a second-order administrative division	
PPLA3	seat of a third-order administrative division	
PPLA4	seat of a fourth-order administrative division	
PPLA5	seat of a fifth-order administrative division	
PPLC	capital of a political entity	
PPLCH	historical capital of a political entity	a former capital of a political entity
PPLF	farm village	a populated place where the population is largely engaged in agricultural activities
PPLG	seat of government of a political entity	
PPLH	historical populated place	a populated place that no longer exists
PPLL	populated locality	an area similar to a locality but with a small group of dwellings or other buildings
PPLQ	abandoned populated place	
PPLR	religious populated place	a populated place whose population is largely engaged in religious occupations
PPLS	populated places	"cities, towns, villages, or other agglomerations of buildings where people live and work"
PPLW	destroyed populated place	"a village, town or city destroyed by a natural disaster, or by war"
PPLX	section of populated place	
STLMT	israeli settlement	
		
CSWY	causeway	a raised roadway across wet ground or shallow water
OILP	oil pipeline	a pipeline used for transporting oil
PRMN	promenade	"a place for public walking, usually along a beach front"
PTGE	portage	"a place where boats, goods, etc., are carried overland between navigable waters"
RD	road	"an open way with improved surface for transportation of animals, people and vehicles"
RDA	ancient road	the remains of a road used by ancient cultures
RDB	road bend	a conspicuously curved or bent section of a road
RDCUT	road cut	an excavation cut through a hill or ridge for a road
RDJCT	road junction	a place where two or more roads join
RJCT	railroad junction	a place where two or more railroad tracks join
RR	railroad	a permanent twin steel-rail track on which freight and passenger cars move long distances
RRQ	abandoned railroad	
RTE	caravan route	the route taken by caravans
RYD	railroad yard	"a system of tracks used for the making up of trains, and switching and storing freight cars"
ST	street	a paved urban thoroughfare
STKR	stock route	a route taken by livestock herds
TNL	tunnel	a subterranean passageway for transportation
TNLN	natural tunnel	a cave that is open at both ends
TNLRD	road tunnel	a tunnel through which a road passes
TNLRR	railroad tunnel	a tunnel through which a railroad passes
TNLS	tunnels	subterranean passageways for transportation
TRL	trail	"a path, track, or route used by pedestrians, animals, or off-road vehicles"
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
